"sample_size,""rep"",""model"",""bias_intercept"",""bias_biomarkers"",""correctly_removed"",""rmse"""
"1000,2,""AdaptLasso_1se"",-1.98180584790741,3.3503920135306,1,0.981235898903784"
"1000,2,""Elastic_Net_min"",-1.25669334400082,1.97719924394493,0.2,0.96116835581913"
"1000,2,""Elastic_Net_1se"",-0.818004184191302,8.3472103778264,0.8,0.9878840678152"
"1000,2,""WQS"",-138.143690033374,2.30258154216766,1,0.985255825924708"
"5000,2,""Lasso_min"",-0.125858807812761,1.06965887050796,0.6,0.985317217110562"
"5000,2,""Lasso_1se"",0.132149830620908,3.99829974462148,0.6,0.995235582215572"
"5000,2,""AdaptLasso_min"",-0.152419729607968,1.20914753771284,1,0.985442485251773"
"5000,2,""AdaptLasso_1se"",-0.0457000132871359,1.23986023888882,1,0.994935505091466"
"5000,2,""Elastic_Net_min"",-0.123036935023827,1.06096481837007,0.6,0.985318598175864"
"5000,2,""Elastic_Net_1se"",0.124632325407071,3.71388415312201,0.6,0.993293433957935"
"5000,2,""WQS"",-131.512584919367,1.48753092630181,1,1.00301455585689"
"100,3,""Lasso_min"",-2.43891941833561,12.991187931369,0.6,1.01395299745643"
"100,3,""Lasso_1se"",-7.18424243894997,23.3404527834844,0.8,1.07141325345495"
"100,3,""AdaptLasso_min"",-1.36837584741442,12.0947074388574,0.8,1.01924562609808"
"100,3,""AdaptLasso_1se"",-6.55647285720209,20.2690188525173,0.8,1.12563769073242"
"100,3,""Elastic_Net_min"",-3.96618515191834,15.6425999223929,0.8,1.02360444369405"
"100,3,""Elastic_Net_1se"",-9.00007536833764,27.0355197142164,0.8,1.09969825062926"
"100,3,""WQS"",-117.308588300081,11.292112221848,0.8,1.10234960150495"
"500,3,""Lasso_min"",-1.00561478314224,3.80872874656973,0.6,0.994725720281372"
"500,3,""Lasso_1se"",-0.836957046798758,8.17326581786537,0.8,1.03082189329978"
"500,3,""AdaptLasso_min"",-0.929634398655172,4.00250289623188,0.6,0.993601641825101"
"500,3,""AdaptLasso_1se"",-0.377966568399905,3.86415335460253,1,1.02635664857815"
"500,3,""Elastic_Net_min"",-0.988725644973806,3.83907537930029,0.4,0.993088127197848"
"500,3,""Elastic_Net_1se"",-1.01275210067829,6.04490345214494,0.8,1.01641621717647"
"500,3,""WQS"",-120.814517544701,3.64217280134899,1,1.02527646645767"
"1000,3,""Lasso_min"",1.66141073695522,1.87613748425782,1,1.02394291908279"
"1000,3,""Lasso_1se"",2.42946640868993,5.39729066417456,0.8,1.03937698988586"
"1000,3,""AdaptLasso_min"",1.58230589083183,2.19820664269327,1,1.02369008103082"
"1000,3,""AdaptLasso_1se"",2.16614840486349,1.71270139660988,1,1.03428507929775"
"1000,3,""Elastic_Net_min"",1.68489167518077,1.81229134883648,1,1.02412235416523"
"1000,3,""Elastic_Net_1se"",2.52874524489301,7.25181250554473,0.4,1.04596376742373"
"1000,3,""WQS"",-122.700634384998,2.444647700667,1,1.04524425572071"
"5000,3,""Lasso_min"",0.543054740364805,0.707237515060641,0.4,0.99501168575083"
"5000,3,""Lasso_1se"",0.581269526175771,4.14733884839255,0.8,1.00358497167406"
"5000,3,""AdaptLasso_min"",0.608665984130917,0.772874786400128,1,0.995632577053792"
"5000,3,""AdaptLasso_1se"",0.709680344808666,0.744761886261731,1,0.99974682776964"
"5000,3,""Elastic_Net_min"",0.540483927072792,0.670467656181084,0.4,0.995014755550861"
"5000,3,""Elastic_Net_1se"",0.563096760988109,4.31337420799289,0.6,1.00334173058678"
"5000,3,""WQS"",-134.331557562634,1.14835173489734,1,1.01907156827031"
"100,4,""Lasso_min"",-9.57877674566188,9.40038720336941,0.6,0.830400664330524"
"100,4,""Lasso_1se"",-10.1986367698186,5.78849042664173,0.6,0.886573489801863"
"100,4,""AdaptLasso_min"",-10.165797534101,10.6208415372443,0.6,0.829158205560037"
"100,4,""AdaptLasso_1se"",-7.92491101194973,5.33486794318985,0.8,0.913250968644681"
"100,4,""Elastic_Net_min"",-9.41469729720979,9.10519255881708,0.6,0.830256197651203"
"100,4,""Elastic_Net_1se"",-9.17417145194773,7.6962627407178,0.6,0.927185042837754"
"100,4,""WQS"",-153.831989678928,9.10831847062954,1,0.91618149725779"
"500,4,""Lasso_min"",-4.52247750491157,7.10608689107203,1,0.976560248256873"
"500,4,""Lasso_1se"",-6.13655985631759,11.9732437599113,0.8,0.996070009374339"
"500,4,""AdaptLasso_min"",-4.26498845039531,6.43303561483459,1,0.97608607529608"
"500,4,""AdaptLasso_1se"",-5.4272744248517,8.58396345245083,1,1.00452413178089"
"500,4,""Elastic_Net_min"",-4.58638034365914,7.29060381328965,1,0.976811865958306"
"500,4,""Elastic_Net_1se"",-6.27391182696923,12.9363562675768,0.6,0.999025879459777"
"500,4,""WQS"",-134.295588812884,5.35034133491891,1,1.00205922106434"
"1000,4,""Lasso_min"",-1.38903178197143,2.6383266937465,0,1.00404671002013"
"1000,4,""Lasso_1se"",-0.995378809682202,9.18275687967515,0.8,1.03647718155812"
"1000,4,""AdaptLasso_min"",-1.62858996468445,2.47677349627504,0.8,1.00884485726709"
"1000,4,""AdaptLasso_1se"",-1.78860038340666,3.42461114130903,1,1.02644784484633"
"1000,4,""Elastic_Net_min"",-1.38615821802823,2.58708014545656,0.2,1.00429667406861"
"1000,4,""Elastic_Net_1se"",-0.964178223883364,8.55581728742593,0.8,1.03078988867115"
"1000,4,""WQS"",-135.712603041129,2.57622347142441,1,1.01947459130472"
"5000,4,""Lasso_min"",2.51113600194356,0.869710090169946,0.6,1.00621795496169"
"5000,4,""Lasso_1se"",2.56484345730264,4.88855812436109,0.4,1.01543772685776"
"5000,4,""AdaptLasso_min"",2.50284271333082,0.968117431640652,0.8,1.00644028103218"
